"5 markers for asthma?"," <br>&nbsp - peak flow diary <br>&nbsp - lung function test <br>&nbsp - FeNO <br>&nbsp - blood eosinophil count <br>&nbsp - sensitatisations to aeroallergens"
"Different mechanisms of SABA, short acting muscarinic, and corticosteroids?"," <br>&nbsp - beta 2 receptor agonism --> ++ bronchodilation <br>&nbsp - block acetylcholine causing smooth muscle contraction --> -- bronchoconstriction <br>&nbsp - altering production/ effect of inflammatory mediators"
"3 different types of inhaler and mechanisms?"," <br>&nbsp - pMDI - HCFs propulsion --> slow steady inhalation <br>&nbsp - dry-powder - quick + deep inhalation <br>&nbsp - soft mist - "
"5 different clinical phenotypes?"," <br>&nbsp - allergic / atopic <br>&nbsp - aspirin sensitive <br>&nbsp - late onset <br>&nbsp - exercise-induced <br>&nbsp - catamenial asthma"
"Different mechanisms of bronchodilator reversibility challenge, FeNO, and bronchial challenge?"," <br>&nbsp - % increase in FEV1 postbronchodilation <br>&nbsp - measurement of NO in exhaled breath : high in airway inflammation <br>&nbsp - methacholine / synthetic histamine inhaled --> conc required to cause 20% fall in FEV1 measured : asthma causes hypersensitivitya"
"3 characteristics of acute severe asthma vs life threatening?"," <br>&nbsp - SpO2 >= 92% |vs| below <br>&nbsp - respiration >= 25/min |vs| poor respiratory effort/ silent chest <br>&nbsp - cannot complete sentence in one breath |vs| exhaustion + altered consciousness"
"Angles that the leads I, II, III, aVR, aVF, observe the heart in?"," <br>&nbsp - I - left/ lateral <br>&nbsp - II/III - inferior <br>&nbsp - aVR = right side, from arm <br>&nbsp - aVL = left/ lateral side <br>&nbsp - aVF = inferior (directly)"
"Corresponding areas of observation of V1+V2, V3+V4, V5+V6?"," <br>&nbsp - septum <br>&nbsp - anterior wall <br>&nbsp - left/ lateral wall"
"Corresponding precordial electrodes of left sternal margin of 4th intercostal space, midclavicular line of 5th intercostal space, anterior axillary line of 5th intercostal space?"," <br>&nbsp - V2 <br>&nbsp - V4 <br>&nbsp - V5"
"Notable features of hypocalcaemia vs hyper, and hypokalaemia vs hyper?"," <br>&nbsp - prolonged vs shortened ST wave <br>&nbsp - peaked U wave vs T wave"
"3 functions and outcomes of Th lymphocytes?"," <br>&nbsp - IL2 prod --> CD8+ prod <br>&nbsp - IFNgamma --> recruit macrophages <br>&nbsp - chemokines"
"3 results of hyperinflammation?"," <br>&nbsp - ARDS <br>&nbsp - shock <br>&nbsp - cardiac failure"
"5 symptoms of pulmonary fibrosis?"," <br>&nbsp - progressive dyspnoea <br>&nbsp - finger clubbing <br>&nbsp - pulmonary hypertension <br>&nbsp - end inspiratory crackles <br>&nbsp - non productive cough"
"Corresponding sounds of mitral, aortic regurgitation and aortic stenosis?"," <br>&nbsp - panystolic murmur <br>&nbsp - systolic + diastolic murmur <br>&nbsp - systolic murmur"
"3 things ECG cannot show?"," <br>&nbsp - pulseless electrical activity <br>&nbsp - underlying heart disease eg CHD <br>&nbsp - intermittent conduction problems"
"3 things a QRS complex wider than 120msec indicate?"," <br>&nbsp - bundle branch block <br>&nbsp - ventricular pre-excitation <br>&nbsp - abnormal ventricular activation"
"Leads and arteries that correspond to anterior, lateral, and inferior regions?"," <br>&nbsp - V2, V3, V4 - left anterior descending artery <br>&nbsp - I, aVL, V5, V6 - left circumflex artery <br>&nbsp - II, III, aVF - right coronary artery"
"Differences in 1-3rd degree AV block?"," <br>&nbsp - P waves always precede QRS, prolonged PR (>200) <br>&nbsp - PR interval gets longer each heartbeat until a heartbeak is missed / long but regular with regular missed beats. look for P:QRS ratio <br>&nbsp - complete block so P waves unrelated to QRS"
"3 common causes of LAD?"," <br>&nbsp - ventricular hypertrophy <br>&nbsp - LAFB/LAHB <br>&nbsp - inferior MI"
"3 Ca++ channels contributing to influx?"," <br>&nbsp - P2X purinoceptor <br>&nbsp - voltage gated Ca++ <br>&nbsp - non selective cation channel"
"3 factors that also increase vascular sympathetic stimulation?"," <br>&nbsp - chemoreceptors detecting hypoxia / hypercapnia <br>&nbsp - stimulation of visceral / cutaneous nociceptors <br>&nbsp - mental stress"
"3 factors that act in local control of dilation?"," <br>&nbsp - EDHF --> hyperpolarisation <br>&nbsp - COX --> prostaglandin --> cAMP <br>&nbsp - NO --> cGMP"
"3 autocoidal factors released by activated platelets?"," <br>&nbsp - ADP <br>&nbsp - 5-HT/ serotonin <br>&nbsp - thrombin"
"5 tissue metabolites that act on smooth muscle to induce functional hyperaemia?"," <br>&nbsp - H+ <br>&nbsp - adenosine (or ATP) <br>&nbsp - K+ <br>&nbsp - CO2 <br>&nbsp - lactic acid"
"3 determinants of coronary blood flow?"," <br>&nbsp - coronary perfusion pressure <br>&nbsp - perfusion time <br>&nbsp - vasomotor tone"
"3 responses to excess intracellular cholesterol?"," <br>&nbsp - -- own production <br>&nbsp - ++ conversion to neutral forms eg cholesteryl oleate <br>&nbsp - downregulate LDL receptors"
"3 additional benefits of statins?"," <br>&nbsp - suppress inflammatory responses <br>&nbsp - stabilize plaques <br>&nbsp - prevent thrombus formation"
"Mechanisms of Ca++ channel blockers, K+ channel agonists, and NO donors?"," <br>&nbsp - -- vascular contraction (how do these not affect heart?) <br>&nbsp - hyperpolarised smooth muscle <br>&nbsp - break down and release NO"
"5 abnormalities of the heart causing heart failure?"," <br>&nbsp - myocardial infarction <br>&nbsp - abnormal rhythmn <br>&nbsp - abnormal valves <br>&nbsp - low venous return <br>&nbsp - pericardial obstruction"
"3 locations of chemoreceptors and stretch receptors?"," <br>&nbsp - renal juxtaglomerular cells <br>&nbsp - aortic arch <br>&nbsp - carotid sinus <br>&nbsp - (atria stretching)"
"5 ways of measuring cardiac output and mechanisms for each?"," <br>&nbsp - oesophageal doppler monitor --> velocity of blood flow estimated through oesophageal ultrasound probe <br>&nbsp - echocardiogram --> ultrasound <br>&nbsp - pulmonary artery catheter --> cold saline thermodilution <br>&nbsp - dye dilution LiDCO --> lithium dilution  <br>&nbsp - PiCCO --> aterial pressure waveform analysis to estimate CO"
"3 pieces of information ECHO cardioagraphy can provide?"," <br>&nbsp - valve function <br>&nbsp - ejection fraction <br>&nbsp - RWMA"
"3 effects of angiotensin II?"," <br>&nbsp - ++ aldosterone <br>&nbsp - ++ ADH <br>&nbsp - ++ vasoconstriction + SVR"
"3 things stimulating renin secretion?"," <br>&nbsp - -- renal perfusion pressure <br>&nbsp - -- NaCl delivery <br>&nbsp - ++ sympathetic activity (need to vasoconstrict)"
"3 effects of ANP?"," <br>&nbsp - ++ glomerular filtration rate <br>&nbsp - -- Na+ reabsorption --> ++ H2O excretion <br>&nbsp - -| RAAS"
